,Variance,ES q=0.05,ES q=0.01,VaR q=0.05,VaR q=0.01,ERM k=10
Clayton,6.79824250557372e-05,6.849329423937258e-05,0.0001034163061604112,7.025558868611495e-05,7.571145836820661e-05,6.728134339398214e-05
Frank,0.00026058336294183603,0.00044507019259584264,0.00025118270948377633,0.000154915547616937,0.000377324205226271,0.00033459313995195665
Gauss Mix Indep,6.725281072858527e-05,6.620285975957847e-05,7.542178100777803e-05,7.211662296914128e-05,7.321608791555733e-05,6.846409920171764e-05
Gaussian,6.801675240837502e-05,6.669930879450534e-05,6.868278749588124e-05,7.02288482685694e-05,6.79934231603778e-05,6.835645507783413e-05
Gumbel,6.792511820944975e-05,7.288851982691248e-05,8.840409149463612e-05,7.546203946927734e-05,7.639733804406108e-05,7.074631170800875e-05
NIG,6.621261135688239e-05,6.714958867281148e-05,7.450356023875006e-05,6.709751039193713e-05,7.979172284687587e-05,6.628336776879288e-05
Plackett,6.900163663071613e-05,6.800958632464063e-05,7.040498300543329e-05,6.942459090288842e-05,7.247955230514908e-05,6.958710222674368e-05
rotGumbel,6.772605017932534e-05,7.014707404686707e-05,7.684056379797233e-05,6.710662216157351e-05,7.254260604938831e-05,7.059639701440136e-05
t_Copula,6.694472531090844e-05,6.658599793050559e-05,6.702981325305019e-05,6.940506280400274e-05,6.833577414993219e-05,6.783137706449043e-05
